LocalTime,Power(MW)
1/01/2006 0:00,0
1/01/2006 0:05,0
1/01/2006 0:10,0
1/01/2006 0:15,0
1/01/2006 0:20,0
1/01/2006 0:25,0
1/01/2006 0:30,0
1/01/2006 0:35,0
1/01/2006 0:40,0
1/01/2006 0:45,0
1/01/2006 0:50,0
1/01/2006 0:55,0
1/01/2006 1:00,0
1/01/2006 1:05,0
1/01/2006 1:10,0
1/01/2006 1:15,0
1/01/2006 1:20,0
1/01/2006 1:25,0
1/01/2006 1:30,0
1/01/2006 1:35,0
1/01/2006 1:40,0
1/01/2006 1:45,0
1/01/2006 1:50,0
1/01/2006 1:55,0
1/01/2006 2:00,0
1/01/2006 2:05,0
1/01/2006 2:10,0
1/01/2006 2:15,0
1/01/2006 2:20,0
1/01/2006 2:25,0
1/01/2006 2:30,0
1/01/2006 2:35,0
1/01/2006 2:40,0
1/01/2006 2:45,0
1/01/2006 2:50,0
1/01/2006 2:55,0
1/01/2006 3:00,0
1/01/2006 3:05,0
1/01/2006 3:10,0
1/01/2006 3:15,0
1/01/2006 3:20,0
1/01/2006 3:25,0
1/01/2006 3:30,0
1/01/2006 3:35,0
1/01/2006 3:40,0
1/01/2006 3:45,0
1/01/2006 3:50,0
1/01/2006 3:55,0
1/01/2006 4:00,0
1/01/2006 4:05,0
1/01/2006 4:10,0
1/01/2006 4:15,0
1/01/2006 4:20,0
1/01/2006 4:25,0
1/01/2006 4:30,0
1/01/2006 4:35,0
1/01/2006 4:40,0
1/01/2006 4:45,0
1/01/2006 4:50,0
1/01/2006 4:55,0
1/01/2006 5:00,0
1/01/2006 5:05,0
1/01/2006 5:10,0
1/01/2006 5:15,0
1/01/2006 5:20,0
1/01/2006 5:25,0
1/01/2006 5:30,0
1/01/2006 5:35,0
1/01/2006 5:40,0
1/01/2006 5:45,0
1/01/2006 5:50,0
1/01/2006 5:55,0
1/01/2006 6:00,0
1/01/2006 6:05,0
1/01/2006 6:10,0
1/01/2006 6:15,0
1/01/2006 6:20,0
1/01/2006 6:25,0
1/01/2006 6:30,0
1/01/2006 6:35,0
1/01/2006 6:40,0
1/01/2006 6:45,0
1/01/2006 6:50,0
1/01/2006 6:55,0
1/01/2006 7:00,0
1/01/2006 7:05,0
1/01/2006 7:10,0
1/01/2006 7:15,0
1/01/2006 7:20,0.2
1/01/2006 7:25,1
1/01/2006 7:30,2.4
1/01/2006 7:35,4.1
1/01/2006 7:40,4.6
1/01/2006 7:45,4.8
1/01/2006 7:50,5.7
1/01/2006 7:55,7.4
1/01/2006 8:00,7.7
1/01/2006 8:05,6.4
1/01/2006 8:10,7.3
1/01/2006 8:15,6.1
1/01/2006 8:20,0.8
1/01/2006 8:25,0.8
1/01/2006 8:30,2.4
1/01/2006 8:35,0.2
1/01/2006 8:40,2.8
1/01/2006 8:45,7
1/01/2006 8:50,8.6
1/01/2006 8:55,7.9
1/01/2006 9:00,8.7
1/01/2006 9:05,9.5
1/01/2006 9:10,7.2
1/01/2006 9:15,10.7
1/01/2006 9:20,12.8
1/01/2006 9:25,11.1
1/01/2006 9:30,11.2
1/01/2006 9:35,12.2
1/01/2006 9:40,13
1/01/2006 9:45,15.4
1/01/2006 9:50,14.1
1/01/2006 9:55,13.4
1/01/2006 10:00,12.7
1/01/2006 10:05,13.5
1/01/2006 10:10,14.7
1/01/2006 10:15,20.5
1/01/2006 10:20,17.6
1/01/2006 10:25,10.5
1/01/2006 10:30,9.8
1/01/2006 10:35,19.6
1/01/2006 10:40,27.8
1/01/2006 10:45,26.2
1/01/2006 10:50,19.6
1/01/2006 10:55,20.3
1/01/2006 11:00,34
1/01/2006 11:05,40.8
1/01/2006 11:10,25.9
1/01/2006 11:15,25.1
1/01/2006 11:20,23.8
1/01/2006 11:25,19.8
1/01/2006 11:30,21
1/01/2006 11:35,21.5
1/01/2006 11:40,23
1/01/2006 11:45,24.8
1/01/2006 11:50,22.6
1/01/2006 11:55,21
1/01/2006 12:00,9.9
1/01/2006 12:05,7.6
1/01/2006 12:10,9.1
1/01/2006 12:15,26.3
1/01/2006 12:20,28.2
1/01/2006 12:25,24.2
1/01/2006 12:30,21.6
1/01/2006 12:35,19.2
1/01/2006 12:40,16.4
1/01/2006 12:45,12.9
1/01/2006 12:50,8.8
1/01/2006 12:55,6.7
1/01/2006 13:00,2.5
1/01/2006 13:05,1.2
1/01/2006 13:10,0.3
1/01/2006 13:15,2.6
1/01/2006 13:20,5.9
1/01/2006 13:25,5.7
1/01/2006 13:30,5.8
1/01/2006 13:35,2.4
1/01/2006 13:40,1.9
1/01/2006 13:45,1.9
1/01/2006 13:50,2.2
1/01/2006 13:55,1.7
1/01/2006 14:00,1.1
1/01/2006 14:05,1
1/01/2006 14:10,0.9
1/01/2006 14:15,0.9
1/01/2006 14:20,1.5
1/01/2006 14:25,3.5
1/01/2006 14:30,5.6
1/01/2006 14:35,4
1/01/2006 14:40,1.2
1/01/2006 14:45,2
1/01/2006 14:50,4.9
1/01/2006 14:55,7.2
1/01/2006 15:00,7.9
1/01/2006 15:05,9.3
1/01/2006 15:10,10
1/01/2006 15:15,6.2
1/01/2006 15:20,1
1/01/2006 15:25,0.2
1/01/2006 15:30,0.1
1/01/2006 15:35,0.1
1/01/2006 15:40,0
